timestamp,open,high,low,close,volume,datetime
1773333000000,2062.83,2074.83,2061.09,2068.98,73005.568,2026-03-12 16:30:00
1773334800000,2068.97,2074.6,2056.7,2060.91,69019.917,2026-03-12 17:00:00
1773336600000,2060.91,2067.14,2054.03,2057.61,61121.524,2026-03-12 17:30:00
1773338400000,2057.6,2061.5,2045.7,2052.25,85325.065,2026-03-12 18:00:00
1773340200000,2052.24,2058.55,2047.01,2048.01,60817.24,2026-03-12 18:30:00
1773342000000,2048.0,2061.87,2043.76,2061.05,85807.843,2026-03-12 19:00:00
1773343800000,2061.05,2072.81,2060.45,2068.47,88527.826,2026-03-12 19:30:00
1773345600000,2068.47,2072.8,2064.0,2065.6,33246.367,2026-03-12 20:00:00
1773347400000,2065.61,2065.61,2059.26,2061.78,31243.897,2026-03-12 20:30:00
1773349200000,2061.79,2069.37,2059.49,2060.3,16402.135,2026-03-12 21:00:00
1773351000000,2060.3,2064.62,2056.07,2062.15,39057.979,2026-03-12 21:30:00
1773352800000,2062.14,2067.0,2060.04,2063.55,26385.782,2026-03-12 22:00:00
1773354600000,2063.55,2065.52,2053.58,2064.67,49082.841,2026-03-12 22:30:00
1773356400000,2064.67,2092.55,2063.87,2082.2,185394.759,2026-03-12 23:00:00
1773358200000,2082.19,2082.2,2071.36,2072.65,44913.661,2026-03-12 23:30:00
1773360000000,2072.64,2141.25,2068.32,2131.99,483843.979,2026-03-13 00:00:00
1773361800000,2132.0,2148.61,2106.0,2118.11,351924.315,2026-03-13 00:30:00
1773363600000,2118.11,2129.49,2116.17,2121.95,105804.221,2026-03-13 01:00:00
1773365400000,2121.94,2128.49,2110.0,2123.79,85313.79,2026-03-13 01:30:00
1773367200000,2123.78,2126.18,2113.69,2115.04,57261.108,2026-03-13 02:00:00
1773369000000,2115.04,2116.65,2100.59,2104.75,128305.279,2026-03-13 02:30:00
1773370800000,2104.76,2113.11,2103.09,2106.72,64330.0,2026-03-13 03:00:00
1773372600000,2106.72,2123.07,2101.05,2117.79,79820.746,2026-03-13 03:30:00
1773374400000,2117.79,2119.07,2110.2,2111.12,50293.899,2026-03-13 04:00:00
1773376200000,2111.13,2113.9,2108.58,2110.55,33116.997,2026-03-13 04:30:00
1773378000000,2110.54,2111.04,2102.2,2108.61,58589.304,2026-03-13 05:00:00
1773379800000,2108.6,2114.28,2107.7,2109.36,37335.812,2026-03-13 05:30:00
1773381600000,2109.37,2112.34,2091.34,2095.2,99100.825,2026-03-13 06:00:00
1773383400000,2095.21,2097.14,2088.43,2095.21,124872.321,2026-03-13 06:30:00
1773385200000,2095.21,2103.85,2091.7,2100.62,73193.433,2026-03-13 07:00:00
1773387000000,2100.62,2102.6,2093.13,2098.74,52929.93,2026-03-13 07:30:00
1773388800000,2098.73,2099.47,2090.57,2097.62,50681.891,2026-03-13 08:00:00
1773390600000,2097.62,2116.51,2096.49,2099.21,168382.588,2026-03-13 08:30:00
1773392400000,2099.21,2105.57,2095.07,2102.21,52451.182,2026-03-13 09:00:00
1773394200000,2102.2,2116.67,2101.14,2112.42,96586.693,2026-03-13 09:30:00
1773396000000,2112.41,2132.37,2111.49,2123.99,179560.647,2026-03-13 10:00:00
1773397800000,2124.0,2132.71,2123.0,2125.66,87341.645,2026-03-13 10:30:00
1773399600000,2125.66,2128.92,2120.52,2124.26,66325.942,2026-03-13 11:00:00
1773401400000,2124.25,2126.71,2117.0,2119.76,64465.201,2026-03-13 11:30:00
1773403200000,2119.76,2138.85,2119.24,2128.88,128306.139,2026-03-13 12:00:00
1773405000000,2128.89,2154.52,2126.73,2145.4,248500.546,2026-03-13 12:30:00
1773406800000,2145.41,2200.0,2140.54,2181.93,583881.472,2026-03-13 13:00:00
1773408600000,2181.92,2193.85,2173.22,2184.32,240334.009,2026-03-13 13:30:00
1773410400000,2184.31,2209.0,2181.58,2195.1,335330.968,2026-03-13 14:00:00
1773412200000,2195.1,2200.41,2145.0,2150.63,481646.778,2026-03-13 14:30:00
1773414000000,2150.64,2164.9,2140.07,2152.04,230056.015,2026-03-13 15:00:00
1773415800000,2152.03,2156.99,2124.3,2127.26,273858.384,2026-03-13 15:30:00
1773417600000,2127.26,2133.12,2110.47,2118.71,255533.842,2026-03-13 16:00:00
1773419400000,2118.7,2143.64,2118.55,2133.13,174824.701,2026-03-13 16:30:00
1773421200000,2133.14,2140.59,2118.72,2120.7,121306.207,2026-03-13 17:00:00
1773423000000,2120.69,2121.97,2088.84,2101.98,310021.828,2026-03-13 17:30:00
1773424800000,2101.99,2107.85,2090.0,2103.28,121466.914,2026-03-13 18:00:00
1773426600000,2103.28,2108.0,2097.78,2099.88,52911.727,2026-03-13 18:30:00
1773428400000,2099.88,2105.0,2095.0,2098.19,48516.989,2026-03-13 19:00:00
1773430200000,2098.19,2104.75,2098.19,2101.65,42201.446,2026-03-13 19:30:00
1773432000000,2101.65,2112.88,2100.02,2109.52,50117.096,2026-03-13 20:00:00
1773433800000,2109.53,2113.58,2108.01,2110.65,23147.783,2026-03-13 20:30:00
1773435600000,2110.65,2116.21,2103.55,2104.94,38395.648,2026-03-13 21:00:00
1773437400000,2104.95,2108.47,2100.18,2102.16,26960.323,2026-03-13 21:30:00
1773439200000,2102.16,2104.1,2080.01,2081.45,132744.813,2026-03-13 22:00:00
1773441000000,2081.45,2089.72,2076.93,2088.2,79017.178,2026-03-13 22:30:00
1773442800000,2088.21,2093.0,2084.6,2090.73,31832.553,2026-03-13 23:00:00
1773444600000,2090.73,2093.03,2089.24,2091.16,22209.823,2026-03-13 23:30:00
1773446400000,2091.17,2094.25,2086.53,2091.07,29808.845,2026-03-14 00:00:00
1773448200000,2091.07,2093.59,2081.77,2084.35,46767.011,2026-03-14 00:30:00
1773450000000,2084.36,2092.54,2084.26,2091.7,29134.207,2026-03-14 01:00:00
1773451800000,2091.75,2094.8,2080.33,2091.5,46517.759,2026-03-14 01:30:00
1773453600000,2091.5,2094.82,2088.68,2089.81,30969.688,2026-03-14 02:00:00
1773455400000,2089.81,2094.37,2088.55,2091.44,20614.803,2026-03-14 02:30:00
1773457200000,2091.44,2099.6,2091.39,2097.6,42682.691,2026-03-14 03:00:00
1773459000000,2097.6,2103.77,2097.34,2100.3,41929.338,2026-03-14 03:30:00
1773460800000,2100.3,2103.99,2098.7,2102.3,28690.007,2026-03-14 04:00:00
1773462600000,2102.3,2104.98,2086.34,2089.5,83243.401,2026-03-14 04:30:00
1773464400000,2089.49,2093.6,2088.35,2091.46,44325.729,2026-03-14 05:00:00
1773466200000,2091.45,2092.0,2084.48,2091.31,40480.417,2026-03-14 05:30:00
1773468000000,2091.31,2091.31,2080.5,2084.17,65256.418,2026-03-14 06:00:00
1773469800000,2084.17,2084.66,2067.01,2077.3,142875.616,2026-03-14 06:30:00
1773471600000,2077.29,2079.24,2074.48,2078.69,40655.256,2026-03-14 07:00:00
1773473400000,2078.68,2079.61,2075.2,2076.5,22893.062,2026-03-14 07:30:00
1773475200000,2076.5,2080.77,2075.09,2078.5,34393.89,2026-03-14 08:00:00
1773477000000,2078.5,2078.76,2071.53,2073.46,32131.558,2026-03-14 08:30:00
1773478800000,2073.46,2077.33,2072.67,2075.69,22738.936,2026-03-14 09:00:00
